"year","total forcing"
1850,0.40539615
1851,0.39862512
1852,0.40052091
1853,0.3934753
1854,0.38414144
1855,0.24282623
1856,-0.21107251
1857,-0.44449029
1858,-0.096836341
1859,0.26210904
1860,0.39070948
1861,0.35779049
1862,0.2581144
1863,0.26390439
1864,0.33623394
1865,0.37076405
1866,0.3750448
1867,0.37953974
1868,0.40476502
1869,0.44070511
1870,0.4698686
1871,0.46881912
1872,0.42277264
1873,0.36978899
1874,0.353734715
1875,0.332461
1876,0.28830947
1877,0.29298153
1878,0.33420941
1879,0.368246
1880,0.39995496
1881,0.42920523
1882,0.33982025
1883,-0.56353326
1884,-1.3017754
1885,-0.71893884
1886,-0.23580858
1887,-0.11721518
1888,-0.016598936
1889,-0.08450957
1890,-0.12348587
1891,-0.02816829
1892,0.17145477
1893,0.34036723
1894,0.45854671
1895,0.43496617
1896,0.26290903
1897,0.16316606
1898,0.25869933
1899,0.36799034
1900,0.41475781
1901,0.39849017
1902,-0.041670226
1903,-0.40336913
1904,-0.081701345
1905,0.28507922
1906,0.389716
1907,0.36949981
1908,0.38664275
1909,0.45257997
1910,0.47406745
1911,0.47502449
1912,0.23787245
1913,0.1428922
1914,0.38792615
1915,0.54484665
1916,0.61946613
1917,0.65507998
1918,0.66254981
1919,0.64062566
1920,0.53860773
1921,0.51390834
1922,0.59917404
1923,0.6188415
1924,0.62160553
1925,0.65690052
1926,0.70124531
1927,0.72125112
1928,0.67462867
1929,0.62401289
1930,0.65251894
1931,0.6785285
1932,0.64515032
1933,0.65684612
1934,0.717063655
1935,0.77329698
1936,0.83155121
1937,0.84505011
1938,0.833606
1939,0.83751216
1940,0.84838382
1941,0.84065291
1942,0.79637885
1943,0.77291049
1944,0.8014979
1945,0.84012487
1946,0.87434778
1947,0.88946972
1948,0.89886532
1949,0.87852081
1950,0.84163896
1951,0.80135099
1952,0.76630996
1953,0.74610376
1954,0.75480507
1955,0.81537626
1956,0.89909856
1957,0.96679968
1958,0.98244834
1959,0.96883259
1960,0.88020351
1961,0.75156663
1962,0.64515114
1963,0.1620533
1964,-0.18567194
1965,0.16267508
1966,0.59334428
1967,0.76875547
1968,0.60919867
1969,0.57531732
1970,0.84740204
1971,1.0370201
1972,1.0974394
1973,1.0624488
1974,0.91537051
1975,0.82176973
1976,0.97769425
1977,1.1988289
1978,1.2758337
1979,1.3561905
1980,1.466064
1981,1.4077614
1982,0.71477621
1983,0.40876639
1984,0.95187721
1985,1.2513234
1986,1.3423653
1987,1.4352832
1988,1.5760874
1989,1.7006148
1990,1.7456356
1991,0.80674072
1992,0.18316716
1993,0.8971375
1994,1.436801
1995,1.6412118
1996,1.7378777
1997,1.8156668
1998,1.9242133
1999,2.0332219
2000,-0.000704735124273981
2001,1.20750535261592
2002,1.31917040748295
2003,1.43283800196075
2004,1.54629751512929
2005,1.65719218123725
2006,1.76317375464552
2007,1.86209061290645
2008,1.95221223291384
2009,2.03249406913211
2010,2.10287358282147
2011,2.16454502492661
2012,2.220083621629
2013,2.27321206638176
2014,2.32800697862446
2015,2.38752737282701
2016,2.45222260344694
2017,2.51887006389359
2018,2.58087467074947
2019,2.63028052044019
2020,2.66092205054612
2021,2.67134213306301
2022,2.66610057923372
2023,2.6551167945723
2024,2.65208951640836
2025,2.67323293774245
2026,2.73512990482715
2027,2.84750641971444
2028,3.00040916493604
2029,3.15774937721695
2030,3.27339251892913
2031,3.32395200392397
2032,3.32633537866015
2033,3.32035740710965
2034,3.33652824966899
2035,3.38112648855763
2036,3.44409772029013
2037,3.51241085586798
2038,3.55849417402176
2039,3.43619439632819
2040,3.257729918133
2041,3.53642355669268
2042,3.76084108813906
2043,3.81999308825321
2044,3.85921260731999
2045,3.90118345278737
2046,3.94988075161306
2047,4.00870759148118
2048,4.08054873105542
2049,4.16733592689427
2050,4.26961628090989
2051,4.38621254926121
2052,4.51412373732192
2053,4.64885894972752
2054,4.78535301053718
2055,4.91941074553829
2056,5.04928652452195
2057,5.17669594238163
2058,5.30654698070221
2059,5.44514219867609
2060,5.59740181016928
2061,5.76432410170243
2062,5.94193700255012
2063,6.1222828034726
2064,6.29593039475213
2065,6.45478990213206
2066,6.59402798751307
2067,6.71242087204438
2068,6.8016034848021
2069,6.73528116299772
2070,6.56955827222313
2071,6.87348447546073
2072,7.08513471153551
2073,7.15540821463262
2074,7.21697826385546
2075,7.28294261574501
2076,7.35634825381377
2077,7.44007436490152
2078,7.53669341486314
2079,7.6481073195417
2080,7.77511444340938
2081,7.91697316919568
2082,8.07104767667848
2083,8.2326360991001
2084,8.39508586577968
2085,8.5502927419292
2086,8.6896547940985
2087,8.80550022931654
2088,8.89290892426157
2089,8.9516774591572
2090,8.98793304316548
2091,9.01464219348694
2092,9.05014189418599
2093,9.11407299520002
2094,9.22089184335934
2095,9.37239269648039
2096,9.55190392630747
2097,9.72323814733314
2098,9.83641844175612
2099,9.83969410059575
2100,9.69438295277748
